type,status,type,date,ticker,purchase_price,amount,title,industry,country,sum,current_price,current_sum,change,profit,fixed_profit,share,price_ev_w,price_pe_w,price_ps_w
purchase,open,Stock,02.05.2025,MCD,"274,55","0,010926",McDonald's Corp,Consumer Discretionary,United States,"2,9997333","257,4417963","2,812809066","-6,23%","-0,1869242336",,"19,68%","0,2","0,4","0,4"
purchase,open,Stock,02.05.2025,HDB,65,"0,046153",HDFC Bank Ltd,Financials,India,"2,999945","29,8","1,3753594","-54,15%","-1,6245856",,"22,82%","0,0","0,7","0,3"
purchase,open,Stock,02.05.2025,AAPL,"174,84","0,114351",Apple Inc,Information Technology,United States,"19,99312884","209,0150175","23,90107627","19,55%","3,907947426",-1,"77,40%","0,2","0,3","0,5"
purchase,open,Stock,02.05.2025,NESN.SW,"94,89","0,126462",Nestle SA,Consumer Staples,Switzerland,"11,99997918","77,49439698","9,800096431","-18,33%","-2,199882749",-1,"29,40%","0,3","0,4","0,3"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
purchase,dividend,Stock,07.05.2025,BTI,,,BRITISH AMERICAN TOBACCO PLC ADS Common Stock,Consumer Staples,United Kingdom,"0,29",,,,,,,"0,3","0,4","0,3"
,,,,,,,,,,,,,,,,,,,
purchase,dividend,Stock,16.05.2025,COST,,,Costco Wholesale Corp,Consumer Staples,United States,0,,,,,,,"0,3","0,4","0,3"
purchase,dividend,Stock,27.05.2025,WMT,,,Walmart Inc,Consumer Staples,United States,"0,01",,,,,,,"0,3","0,4","0,3"
purchase,dividend,Stock,30.05.2025,SBUX,,,Starbucks Corp,Consumer Discretionary,United States,"0,01",,,,,,,"0,2","0,4","0,4"
,,,,,,,,,,,,,,,,,,,
purchase,open,Stock,02.06.2025,AAPL,"174,66","0,01145",Apple Inc,Information Technology,United States,"1,999857","209,0150175","2,39322195","19,67%","0,3933649504",,"7,75%","0,2","0,3","0,5"
